post_text,date_first_posted,date_of_extract_last,n,condition,mean_reactions,mean_comments,mean_shares,mean_views,mean_reach,mean_impressions,link_clicks
Data-based individualization i,2025-03-25T12:01:00Z,2025-03-25,36,Text Only,15.722222222222221,0,1.9722222222222223,3227.6388888888887,2332.9166666666665,NA,33.416666666666664
Did you know that fully fundin,2025-07-15T07:21:00Z,2025-04-30,6,BAU,172.5,7.666666666666667,51.166666666666664,7105.833333333333,4833,NA,22.333333333333332
Direct instruction (DI) in sma,2025-03-06T12:00:00Z,2025-03-06,42,TVA,142.71428571428572,4.9523809523809526,56.976190476190474,14765.57142857143,10460,5577,80.23809523809524
Discover all that we have to o,2025-06-17T11:01:00Z,2025-06-19,13,BAU,126.46153846153847,0,60.46153846153846,7469.538461538462,5164,NA,34.69230769230769
Discover how mentorship is sha,2025-07-07T08:47:00Z,2025-07-11,8,BAU,10,0,2,1706.375,1249.625,NA,4
Do you know an incredible spec,2025-04-17T07:24:00Z,2025-05-18,29,BAU,37.793103448275865,14.931034482758621,16.96551724137931,5893.068965517241,3714.7241379310344,NA,71.3103448275862
Don't miss out on reading this,2025-05-14T07:47:00Z,2025-05-16,24,BAU,3,0,1,612.4583333333334,452.6666666666667,NA,2
Don't miss your chance to lear,2025-06-24T11:02:00Z,2025-06-24,11,BAU,5.636363636363637,0,0,1133,815.3636363636364,NA,2.8
During Teacher Appreciation We,2025-05-08T08:02:00Z,2025-05-08,27,BAU,25.666666666666668,1,4.888888888888889,3326.1481481481483,2371.8888888888887,NA,NA
Early bird registration for th,2025-05-09T11:02:00Z,2025-05-11,26,BAU,9.807692307692308,0,5.961538461538462,2331.4615384615386,1706.3076923076924,NA,15.961538461538462
Established in 2021 as a feder,2025-06-19T05:10:00Z,2025-06-19,13,BAU,110.23076923076923,0,25,4168.307692307692,3102.153846153846,NA,2
Evidence-based math instructio,2025-06-03T06:00:00Z,2025-06-03,17,TVA,25.529411764705884,0,18.235294117647058,3878.823529411765,2706.705882352941,NA,20.705882352941178
Explore our Partner Solutions,2025-07-10T10:13:00Z,2025-07-11,8,BAU,4.625,0,2,1015.75,720.5,NA,1.8571428571428572
Fluency practice in math can h,2025-04-03T06:00:00Z,2025-04-04,36,Text Only,16.194444444444443,0.9722222222222222,7.833333333333333,1517.5833333333333,1015.0833333333334,NA,30.083333333333332
Following the recent activity,2025-07-31T10:50:00Z,2025-07-31,1,BAU,1,0,1,448,330,NA,11
"For children of color, the res",2025-06-30T07:48:00Z,2025-07-11,8,BAU,47,2,10,3726,2640.125,NA,7
"For more than a decade, Univer",2025-02-19T12:02:00Z,2025-05-02,3,BAU,73,2,19,5798.333333333333,4075,NA,38
Four interconnected domains of,2025-04-29T12:00:00Z,2025-04-29,24,TVA,26.083333333333332,0.9583333333333334,10.625,3296.5416666666665,2396,NA,21.25
General Heuristic Instruction,2025-04-24T06:00:00Z,2025-04-24,26,TVA,33.34615384615385,0,14.76923076923077,4488.153846153846,3219.1153846153848,NA,10.653846153846153
Graphic organizers and task an,2025-06-24T12:00:00Z,2025-06-24,11,TVA,139.8181818181818,2.727272727272727,50,9426.454545454546,6771.454545454545,NA,87.72727272727273
Great news! You now have until,2025-06-09T12:45:00Z,2025-06-19,13,BAU,13,0,1,2466.6153846153848,1870.5384615384614,NA,13
HAPPENING TODAY: Join CEC's Se,2025-04-15T07:03:00Z,2025-04-15,31,BAU,4,0,4,1303.9032258064517,930.516129032258,NA,NA
Happening TODAY at 2 PM! Congr,2025-05-13T10:19:00Z,2025-05-13,25,BAU,137.68,43.36,81.72,13731.28,8326.64,NA,105.36
Happy April! 🌷 While we weathe,2025-04-04T08:32:00Z,2025-04-06,35,BAU,398.14285714285717,6.9714285714285715,148.77142857142857,23381.82857142857,16535.342857142856,NA,NA
"Happy Friday, #CEC2025! Get re",2025-03-14T05:32:00Z,2025-03-14,40,BAU,9.825,0,0,2243.5,1517.125,NA,1
Happy Paraeducator Appreciatio,2025-04-02T07:00:00Z,2025-04-04,37,BAU,795.8918918918919,86.67567567567568,143.1891891891892,28782.567567567567,18391.62162162162,NA,26.972972972972972
Have you checked out the first,2025-07-21T11:02:00Z,2025-04-30,4,BAU,7,0,2,1161.75,859,NA,8
Have you signed up to be a rev,2025-05-28T06:26:00Z,2025-06-01,18,BAU,16.944444444444443,0,5,3278.5,2406.722222222222,NA,37.888888888888886
Have you submitted a nominatio,2025-07-31T13:01:00Z,2025-07-31,1,BAU,4,0,1,867,671,NA,3
How should students with indiv,2025-04-23T07:02:00Z,2025-04-10,59,BAU,26.322033898305087,0,11.745762711864407,3644.186440677966,2496.135593220339,NA,38.728813559322035
If you are hoping to attend CE,2025-07-09T07:02:00Z,2025-07-11,8,BAU,29.375,0,0,3865.875,2925.625,NA,53.25
"In July of 1990, the Americans",2025-07-03T13:01:00Z,2025-07-11,8,BAU,110.875,4,29.875,4057.75,2774.875,NA,16
"In Sacramento, a group of advo",2025-02-25T12:01:00Z,2025-02-28,42,BAU,28.38095238095238,0.9761904761904762,4.928571428571429,3956.4285714285716,2942.714285714286,2475.2,6.928571428571429
"In celebration of Pride Month,",2025-06-02T07:55:00Z,2025-06-03,17,BAU,297.4117647058824,1.8823529411764706,38.35294117647059,6372.705882352941,4256.058823529412,NA,7.9411764705882355
In the premiere episode of Rew,2025-07-01T07:15:00Z,2025-07-11,8,BAU,3,0,1,490.125,505.375,NA,NA
Intensifying and individualizi,2025-04-17T12:00:00Z,2025-05-18,29,TVA,25.413793103448278,0,9.89655172413793,4528.206896551724,3089,NA,14.793103448275861
Intentionally implementing exp,2025-03-04T06:00:00Z,2025-03-06,40,Text Only,32.75,0,8,5290.425,3727.925,3569,67.35
Invest in your learning and ma,2025-07-30T07:16:00Z,2025-07-31,1,BAU,7,0,2,1477,1100,NA,5
It's Exceptional Children's We,2025-04-14T07:51:00Z,2025-04-15,62,BAU,91.91935483870968,2.9838709677419355,41.096774193548384,5500.080645161291,3841.3709677419356,NA,13.387096774193548
JUST ADDED: Tap into the power,2025-02-26T07:58:00Z,2025-02-28,41,BAU,3.8780487804878048,0,0,1492.5121951219512,1107.8536585365853,917.25,2
Join CEC and CASE in Washingto,2025-04-24T13:01:00Z,2025-04-24,26,BAU,9.846153846153847,0.9230769230769231,0,1840.6538461538462,1324.8846153846155,NA,12.961538461538462
