post_text,date_first_posted,date_of_extract_last,n,condition,mean_reactions,mean_comments,mean_shares,mean_views,mean_reach,mean_impressions,link_clicks
To combat its special educator,2025-07-11T13:01:00Z,2025-07-11,7,BAU,46.285714285714285,6.285714285714286,10,5352,3578.4285714285716,NA,43.857142857142854
Today is the last day to recei,2025-05-15T07:54:00Z,2025-05-16,24,BAU,5.916666666666667,0,0,1357.7083333333333,1026.8333333333333,NA,5.5
"Today, we acknowledge the crit",2025-07-30T12:25:00Z,2025-07-31,1,BAU,124,2,51,6735,4694,NA,12
"Today, we celebrate the signif",2025-07-26T07:01:00Z,2025-04-30,3,BAU,52.666666666666664,2,26.666666666666668,2591,1701.6666666666667,NA,1.6666666666666667
"Tomorrow, you will have a powe",2025-05-12T15:01:00Z,2025-05-13,25,BAU,3.96,0,3,1729.68,1255.16,NA,1
Two high-leverage math practic,2025-06-19T06:00:00Z,2025-06-19,13,TVA,43.76923076923077,1,15.923076923076923,3781.230769230769,2759.3076923076924,NA,27.692307692307693
Unlock your professional poten,2025-04-08T09:19:00Z,2025-04-08,34,BAU,2.9411764705882355,0,0.9705882352941176,1192.5882352941176,879.3235294117648,NA,3.121212121212121
Using attack strategies in con,2025-06-05T12:00:00Z,2025-06-05,16,Text Only,6.6875,0,2,2302.1875,1674.25,NA,27.75
Using multiple representations,2025-02-27T12:00:00Z,2025-02-28,41,Text Only,20.70731707317073,1,4.829268292682927,5284.09756097561,3768.8536585365855,2965,55.53658536585366
Using the recommendations outl,2025-06-10T06:00:00Z,2025-06-19,13,Text Only,12,0,0,1282.1538461538462,964.5384615384615,NA,15.461538461538462
Visual organization of structu,2025-04-10T12:00:00Z,2025-04-13,32,Text Only,17.78125,0,11.90625,4003.375,2993.71875,NA,88.84375
We are excited to welcome you,2025-02-19T09:38:00Z,2025-05-02,3,BAU,20,0,4,1367,1331,NA,2
We are kicking off another fan,2025-03-13T05:52:00Z,2025-03-13,41,BAU,28.78048780487805,0,0,3093.9268292682927,2033.9268292682927,NA,NA
We are one week away from #CEC,2025-03-05T06:33:00Z,2025-03-06,41,BAU,7.780487804878049,0,0,1841.4634146341464,1313.3170731707316,940,7.463414634146341
We are pleased to offer pre- a,2025-07-02T07:02:00Z,2025-07-11,8,BAU,11,0,2,2108.625,1512.75,NA,20
We are so excited to kick off,2025-03-12T05:02:00Z,2025-03-13,40,BAU,54.675,4.975,5,5087,3200.675,NA,NA
We received over 150 nominatio,2025-05-09T08:47:00Z,2025-05-11,26,BAU,17.884615384615383,0,1,2156.1153846153848,1645,NA,NA
"Weekend checklist:
✅ Coffee
✅",2025-03-28T07:04:00Z,2025-03-30,35,BAU,216.85714285714286,17.885714285714286,205.2,28164.02857142857,17630.257142857143,NA,243.68571428571428
When Daniel Rodgers took the s,2025-06-27T14:30:00Z,2025-06-27,9,BAU,24.444444444444443,0.8888888888888888,2.6666666666666665,2284.222222222222,1690,NA,12
"When you join CEC, you become",2025-03-19T09:47:00Z,2025-03-20,37,BAU,77.91891891891892,0.972972972972973,134.97297297297297,17138.405405405407,11221.891891891892,NA,100.29729729729729
While no specific cuts to the,2025-05-19T11:01:00Z,2025-05-20,22,BAU,148.1818181818182,9.909090909090908,62.63636363636363,8354.363636363636,6307.181818181818,NA,96.45454545454545
Will we see you at #CEC2026? R,2025-06-11T10:35:00Z,2025-06-19,13,BAU,12,0,2,2075.3076923076924,1557.3846153846155,NA,17
Working with families is a cru,2025-07-22T07:41:00Z,2025-04-30,4,BAU,32.5,0,12,2492.25,1759,NA,13.75
You have one more week to join,2025-03-24T07:55:00Z,2025-03-25,36,BAU,227.63888888888889,37.02777777777778,230.86111111111111,42660.47222222222,25481.777777777777,NA,325.52777777777777
“This new minor and teaching l,2025-03-18T07:34:00Z,2025-03-18,38,BAU,6.921052631578948,0,0,2571.815789473684,1725.3947368421052,NA,13.394736842105264
“We are excited to offer this,2025-06-23T13:01:00Z,2025-06-24,11,BAU,3.727272727272727,0,2,1578.6363636363637,1220.3636363636363,NA,4.818181818181818
🏆 Know an outstanding special,2025-07-09T13:00:00Z,2025-07-11,8,BAU,13.625,1,5,2410.5,1732.5,NA,12.25
💙 Happy Volunteer Appreciation,2025-04-21T09:02:00Z,2025-04-22,27,BAU,9.777777777777779,0,2,759.6296296296297,783.3703703703703,NA,NA
🚨ACTION ALERT: The White House,2025-03-20T14:46:00Z,2025-03-20,38,BAU,835.1052631578947,138.89473684210526,342.89473684210526,22134.63157894737,5693.763157894737,NA,119.55263157894737
🧠Mental Health Awareness Month,2025-05-05T11:02:00Z,2025-05-08,27,BAU,19.962962962962962,0,9.962962962962964,3050.8518518518517,2181.5925925925926,NA,4
NA,2025-07-16T07:22:00Z,2025-04-13,44,BAU,7.25,0,0,1080.9166666666667,456.77272727272737,NA,NA
